interview__key	interview__id	date	time	action	originator	role	responsible__name	responsible__role
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	09:56:17	12	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	09:56:17	0	SR04	1	MJS01	2
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	09:56:17	1	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	09:56:21	2	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	10:02:35	15	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	10:02:53	14	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	10:03:15	3	SR04	1	MJS01	2
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:38:56	4	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:38:57	14	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:39:26	15	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:40:38	14	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:41:14	15	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:42:33	14	SR04	1	SR04	1
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-24	14:43:15	3	SR04	1	MJS01	2
37-27-73-11	2cabf55c30d54d53b2fd028ea5fadda0	2020-01-25	14:35:23	5	MJS01	2	any headquarters	3
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	09:46:38	12	SR04	1	SR04	1
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	09:46:38	0	SR04	1	MJS01	2
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	09:46:38	1	SR04	1	SR04	1
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	09:46:40	2	SR04	1	SR04	1
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	09:53:54	3	SR04	1	MJS01	2
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	14:38:04	4	SR04	1	SR04	1
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	14:38:04	14	SR04	1	SR04	1
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-24	14:38:51	3	SR04	1	MJS01	2
89-29-73-19	6747b4b8dbbd4317b87c8abf5442bd8d	2020-01-25	14:35:45	5	MJS01	2	any headquarters	3
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	09:22:49	12	SR04	1	SR04	1
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	09:22:49	0	SR04	1	MJS01	2
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	09:22:49	1	SR04	1	SR04	1
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	09:22:52	2	SR04	1	SR04	1
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	09:29:38	3	SR04	1	MJS01	2
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	14:35:47	4	SR04	1	SR04	1
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	14:35:47	14	SR04	1	SR04	1
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-24	14:37:19	3	SR04	1	MJS01	2
52-34-91-74	37e417a437af448e94db937f119e4c07	2020-01-25	14:36:36	5	MJS01	2	any headquarters	3
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:40:23	12	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:40:23	0	SR04	1	MJS01	2
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:40:23	1	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:40:25	2	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:40:54	15	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:41:44	14	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	09:46:09	3	SR04	1	MJS01	2
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	14:37:25	4	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	14:37:25	14	SR04	1	SR04	1
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-24	14:37:58	3	SR04	1	MJS01	2
17-93-06-95	50f316524b4b41fa92b2f5f06ce0a5bd	2020-01-25	14:36:15	5	MJS01	2	any headquarters	3
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	08:57:17	12	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	08:57:17	0	SR04	1	MJS01	2
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	08:57:17	1	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	08:57:19	2	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	08:59:33	14	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	09:05:44	15	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	09:06:28	14	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	09:07:15	3	SR04	1	MJS01	2
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	14:30:47	4	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	14:30:48	14	SR04	1	SR04	1
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-24	14:32:39	3	SR04	1	MJS01	2
20-54-38-14	00f5dcd17816495c96fa8cca66cd559f	2020-01-25	14:38:26	5	MJS01	2	any headquarters	3
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:07:22	12	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:07:22	0	SR04	1	MJS01	2
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:07:22	1	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:07:24	2	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:12:20	15	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:12:58	14	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	09:13:15	3	SR04	1	MJS01	2
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	14:32:48	4	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	14:32:49	14	SR04	1	SR04	1
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-24	14:33:27	3	SR04	1	MJS01	2
37-86-14-37	9b5022ba7d2946d3a28ba0056881f811	2020-01-25	14:37:44	5	MJS01	2	any headquarters	3
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:13:20	12	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:13:20	0	SR04	1	MJS01	2
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:13:20	1	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:13:22	2	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:16:24	14	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	09:19:45	3	SR04	1	MJS01	2
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	14:33:33	4	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	14:33:33	14	SR04	1	SR04	1
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-24	14:35:41	3	SR04	1	MJS01	2
96-08-38-33	f79befe0bd674ab5a5909bf008150003	2020-01-25	14:37:15	5	MJS01	2	any headquarters	3
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	08:10:10	12	SR04	1	SR04	1
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	08:10:10	0	SR04	1	MJS01	2
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	08:10:10	1	SR04	1	SR04	1
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	08:10:12	2	SR04	1	SR04	1
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	08:19:11	3	SR04	1	MJS01	2
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	14:25:38	4	SR04	1	SR04	1
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	14:25:38	14	SR04	1	SR04	1
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-24	14:27:53	3	SR04	1	MJS01	2
40-94-81-27	06c10a0acb7a4a8f809d39671ca86d0f	2020-01-25	14:41:39	5	MJS01	2	any headquarters	3
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:42:15	12	SR04	1	SR04	1
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:42:15	0	SR04	1	MJS01	2
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:42:15	1	SR04	1	SR04	1
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:42:18	2	SR04	1	SR04	1
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:47:55	15	SR04	1	SR04	1
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:57:00	14	SR04	1	SR04	1
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	08:57:08	3	SR04	1	MJS01	2
58-57-95-22	0d1c8e91ef9a45258085d5004c8138e4	2020-01-24	14:30:05	4	SR04	1	SR04	1
